horizon,grouping,group,n,mean_gain,median_gain,fraction_helped
6,season,summer,10645,0.6789554641658625,0.5682640075683594,0.5536871770784406
6,season,winter,25250,2.0063297550333017,0.9613409042358398,0.5716039603960396
6,pollution_regime,high,7935,2.716991053895336,2.123408079147339,0.5563957151858853
6,pollution_regime,low,31563,0.9673497678213759,0.8176383972167969,0.591895573931502
6,pollution_regime,middle,21510,1.7380088890820866,1.073806643486023,0.5577405857740586
6,wind_regime,calm,19470,1.6802556160028066,1.1444544792175293,0.5763225475089881
6,wind_regime,moderate,34902,1.4066311981524515,0.8250141143798828,0.5704257635665578
6,wind_regime,strong,6496,1.1359214112655778,0.940260648727417,0.5977524630541872
6,gap_magnitude,small,22831,0.803399660880452,0.7679505348205566,0.5986159169550173
6,gap_magnitude,medium,19032,0.8973828875457773,0.7300457954406738,0.5595838587641866
6,gap_magnitude,large,19140,2.8243702966268316,2.685708522796631,0.5629049111807732
6,gap_direction,neighbors_higher,11308,2.8507812211410575,2.3323941230773926,0.5579235939158118
6,gap_direction,neighbors_lower,7832,2.7862376696596622,3.2801289558410645,0.570097037793667
6,gap_direction,similar,41868,0.8459422103067666,0.7557240799069405,0.5808732205980701
12,station,Aotizhongxin,5098,0.7672420533022468,0.3910040855407715,0.5421734013338564
12,station,Changping,5137,1.9125146418418288,1.4902172088623047,0.6015183959509441
12,station,Dingling,4942,1.5095287041202676,1.7360732555389404,0.5951031970862
12,station,Dongsi,4964,0.5590793686790585,0.379486083984375,0.5449234488315874
12,station,Guanyuan,5064,0.35933403579273965,0.3448367118835449,0.5359399684044234
12,station,Gucheng,5066,0.8731121484894693,0.5090959370136261,0.5388866956178444
12,station,Huairou,5103,1.7897486336078103,1.0828056335449219,0.5925925925925926
12,station,Nongzhanguan,5083,0.6419047476570249,0.1866626739501953,0.5166240409207161
12,station,Shunyi,4987,1.8831518016858666,0.8202686309814453,0.5694806496891919
12,station,Tiantan,5107,0.8955640640173239,0.6490211486816406,0.5627570001958097
12,station,Wanliu,5127,0.5674079007803173,0.11453819274902344,0.5090696313633704
12,station,Wanshouxigong,5090,0.4940862904992577,0.3092193603515625,0.5387033398821218
12,season,autumn,25003,0.8699372105721482,0.6636734008789062,0.560732712074551
12,season,summer,10626,0.3319433065705911,0.32947349548339844,0.5371729719555807
12,season,winter,25139,1.4607082596855965,0.6687564849853516,0.5541986554755559
12,pollution_regime,high,7925,1.6155687586055945,1.2235450744628906,0.5423343848580442
12,pollution_regime,low,31355,0.6551987531652407,0.536865234375,0.5654281613777707
12,pollution_regime,middle,21488,1.3333895790369172,0.6128789186477661,0.5413719285182428
12,wind_regime,calm,19423,1.1174649539967647,0.6954784393310547,0.5545487308860629
12,wind_regime,moderate,34773,1.0085409877852496,0.5774822235107422,0.554108072354988
12,wind_regime,strong,6432,0.7914411175604539,0.43688392639160156,0.550839552238806
12,gap_magnitude,small,22682,0.5666255122077742,0.48268795013427734,0.5690415307292126
12,gap_magnitude,medium,18992,0.538156460832158,0.42717742919921875,0.5413331929233361
12,gap_magnitude,large,19087,2.042611802761227,1.9198017120361328,0.548540891706397
12,gap_direction,neighbors_higher,11282,2.304260765513885,1.7220630645751953,0.5469774862613012
12,gap_direction,neighbors_lower,7805,1.6644025013165777,2.362396240234375,0.5508007687379884
12,gap_direction,similar,41681,0.5520904755760946,0.4589118957519531,0.5563686091984358
24,station,Aotizhongxin,5069,0.4940298537773878,0.22803306579589844,0.5346222134543303
24,station,Changping,5121,1.0873383518087982,1.1845817565917969,0.5871900019527436
24,station,Dingling,4904,0.8509389610070778,1.2547473907470703,0.5793230016313213
24,station,Dongsi,4920,0.2692508286334635,0.2011260986328125,0.5398373983739837
24,station,Guanyuan,5043,0.2532760145856633,0.17789840698242188,0.5264723378941106
24,station,Gucheng,5041,0.8078299770868858,0.3760032653808594,0.5443364411823051
24,station,Huairou,5077,0.9206019748653135,0.8818416595458984,0.5798700019696671
24,station,Nongzhanguan,5065,0.1499265268459725,-0.05016803741455078,0.4918065153010859
24,station,Shunyi,4953,1.2347319028653354,0.7940826416015625,0.5786392085604684
24,station,Tiantan,5087,0.5014094590689641,0.38692474365234375,0.5537644977393356
24,station,Wanliu,5111,0.4435750234415097,0.12192344665527344,0.5173155938172569
24,station,Wanshouxigong,5071,0.23823876654260187,0.15806198120117188,0.5235653717215539
24,season,autumn,24886,0.301436969625536,0.32118797302246094,0.5391786546652736
24,season,summer,10607,0.11026408948777612,0.21002578735351562,0.5320071650796644
24,season,winter,24969,1.1143184689337702,0.5353507995605469,0.5594537226160439
24,pollution_regime,high,7959,0.7557968750927433,0.4588775634765625,0.5265736901620807
24,pollution_regime,low,31031,0.3292630198704417,0.34856414794921875,0.5567335889916535
24,pollution_regime,middle,21472,0.943638290594375,0.411090612411499,0.5385152757078987
24,wind_regime,calm,19384,0.7742618500142429,0.4325695037841797,0.5451403219149814
24,wind_regime,moderate,34608,0.5949209320082937,0.41047048568725586,0.5546983356449375
24,wind_regime,strong,6330,0.14684733573765174,0.044516563415527344,0.5055292259083728
24,gap_magnitude,small,22497,0.39558800020874746,0.35613250732421875,0.5653198204205006
24,gap_magnitude,medium,18867,0.3549185733867638,0.3028602600097656,0.5416335400434621
24,gap_magnitude,large,19090,1.0969365336543417,0.7222535610198975,0.5285489785227868
24,gap_direction,neighbors_higher,11250,1.403201691336102,0.5362317562103271,0.5245333333333333
24,gap_direction,neighbors_lower,7840,0.6574616581543672,1.0605430603027344,0.534311224489796
24,gap_direction,similar,41372,0.37595550243265624,0.3359651565551758,0.554481291694866
