lead_hour,predictor,median_r,q25_r,q75_r,stations,persistence_mae_ugm3
27,past_24h_mean,0.29527811478897237,0.2437711206998079,0.3622964903642531,184,
27,past_72h_mean,0.2155802547764015,0.16794788621319676,0.28629414444973994,184,
30,last,0.31443516674840405,0.2575068443674223,0.37342660596062405,184,26.90558620380706
30,past_24h_mean,0.2670297189441849,0.22040526218769535,0.333177708824433,184,
30,past_72h_mean,0.19644319821063239,0.14689480142727845,0.2686743516004043,184,
33,last,0.27933987299739726,0.22456709783269213,0.3395537682503019,184,27.569177914349876
33,past_24h_mean,0.2450646226052411,0.19483460739333677,0.3096950488910106,184,
33,past_72h_mean,0.18105911574469097,0.13206070753904783,0.2538153870632324,184,
36,last,0.24937964295952336,0.20007157203929857,0.3114918174993595,184,28.036194173046333
36,past_24h_mean,0.2243268242619173,0.17656531095413808,0.28984769334415084,184,
36,past_72h_mean,0.16620078037731273,0.11831603500652221,0.24080262372652553,184,
39,last,0.225356592981033,0.17643397475621586,0.2847318456151111,184,28.337098390640897
39,past_24h_mean,0.2038027369481298,0.15683953833783743,0.27038932502249124,184,
39,past_72h_mean,0.15432110257360232,0.10494200542324442,0.22995966656423494,184,
42,last,0.20788023353717727,0.16166716857234434,0.26926653134014156,184,28.820933436665804
42,past_24h_mean,0.18712954609025215,0.14374496379015603,0.2547461441700082,184,
42,past_72h_mean,0.1437747061185593,0.09566821773420936,0.21994483978906842,184,
45,last,0.19670682734414235,0.1539724687898619,0.2560529170724253,184,28.569921639541896
45,past_24h_mean,0.17168976695576793,0.12871765003543387,0.2387149694976926,184,
45,past_72h_mean,0.13254778973109937,0.08860189554751743,0.2059609646762694,184,
48,last,0.18686280280744932,0.13618990129753278,0.24626966541865508,184,28.56838942097399
48,past_24h_mean,0.1601983532541805,0.11321394701094734,0.22472095764007688,184,
48,past_72h_mean,0.12088645781791184,0.08006454288675967,0.1952210436035823,184,
51,last,0.16849690024601116,0.12494104652981022,0.22604402916824523,184,29.147290523070748
51,past_24h_mean,0.14669666600826567,0.10064698432518897,0.21130783749895676,184,
51,past_72h_mean,0.11291158747730301,0.07057213287154337,0.1867400723406414,184,
54,last,0.1500076805745889,0.10322814396254726,0.2084281222943078,184,29.872395195505504
54,past_24h_mean,0.1359219464954144,0.08842293006244563,0.1997485912385572,184,
54,past_72h_mean,0.10559110996784446,0.06491718275676733,0.17823036932241873,184,
57,last,0.13517883898240768,0.09419594920568328,0.1942453818869929,184,29.784324962010032
57,past_24h_mean,0.12572394662401415,0.07785512677116906,0.19255831952886115,184,
57,past_72h_mean,0.09754878776323977,0.05977962768573043,0.1694030832323642,184,
60,last,0.12466373335655916,0.08517214603034602,0.18129918522896543,184,29.904961695204783
60,past_24h_mean,0.11615715213367414,0.06677282332187323,0.1870606096974215,184,
60,past_72h_mean,0.09257311691037741,0.05448142173720205,0.1643851998546731,184,
63,last,0.1133209911238563,0.0754919050823942,0.1717018233912414,184,30.077197967794714
63,past_24h_mean,0.10473976479764965,0.06009907046593465,0.17943077736704327,184,
63,past_72h_mean,0.0891724953248563,0.05017801601008028,0.15985968116463659,184,
66,last,0.10691923146577761,0.0649131785231278,0.16750053589268232,184,30.725695675339416
66,past_24h_mean,0.09762158495016598,0.057340878507290936,0.17068116766973782,184,
66,past_72h_mean,0.08331135598533351,0.045915178339013867,0.15255128966018983,184,
69,last,0.09978600616150633,0.060885765631977465,0.1660403582042071,184,30.372266230411572
69,past_24h_mean,0.09241674627978991,0.05168144008501912,0.16219380944354753,184,
69,past_72h_mean,0.08093225227617576,0.041969022321618775,0.14789034289671277,184,
72,last,0.09632578996447899,0.056309636637426566,0.1602027132538113,184,30.063287718845856
72,past_24h_mean,0.08475152988046908,0.045964159374219556,0.15362977352896057,184,
72,past_72h_mean,0.07781030496695943,0.03845335664579387,0.14118811281646948,184,
