horizon_hours,signal,mean_incremental_delta,std_incremental_delta,improving_seeds,mean_corrected_mae
24,ventilation,-0.012907028198242167,0.006638896196438399,3,17.290496826171875
24,wind_aligned_innovation,-0.058289845784505134,0.018533162279814254,3,17.245114008585613
24,wind_lagged_innovation_3h,-0.025492350260416633,0.00841095988783266,3,17.2779115041097
24,wind_lagged_innovation_6h,-0.015157063802083266,0.005231660975269034,3,17.288246790568035
36,boundary_layer_height,-0.0396595001220703,0.0053205058487028395,3,18.943716684977215
36,dewpoint,-0.0062173207600912,0.014273062634895313,1,18.97715886433919
36,dewpoint_deficit,-0.040763854980468694,0.0358727655165721,3,18.942612330118813
36,neighbor_trend,-0.015867670533510833,0.007097537290828197,3,18.967508514565775
36,precipitation,-0.0023244222005208335,0.007092444879852887,1,18.981051762898762
36,regional_factor,-0.01610755920410153,0.015625343305012616,3,18.967268625895183
36,spatial_innovation,-0.010705005174151168,0.010533662939836175,3,18.972671179925133
36,ventilation,-0.023555755615234365,0.003892933603789706,3,18.95982042948405
36,wind_aligned_innovation,-0.020643234252929632,0.011911370527065975,3,18.962732950846355
36,wind_lagged_innovation_3h,-0.011720657348632734,0.004425092812023578,3,18.971655527750652
36,wind_lagged_innovation_6h,-0.0033702850341796667,0.0023161079819700634,3,18.980005900065105
48,boundary_layer_height,-0.0346253712972005,0.006767702017381076,3,19.47606658935547
48,dewpoint,-0.011768341064453099,0.01951401115510568,2,19.498923619588215
48,dewpoint_deficit,-0.038491566975911405,0.03391428141864868,3,19.472200393676758
48,neighbor_trend,-0.014544255190359666,0.0022278703736650176,3,19.49614770546231
48,precipitation,-0.0007101694742838667,0.004897726027975361,1,19.509981791178387
48,regional_factor,-0.0045973459879557,0.008088645333484693,2,19.506094614664715
48,spatial_innovation,-0.002610176012471016,0.004698100908179459,2,19.508081784640197
48,ventilation,-0.0208199818929036,0.00687751576770286,3,19.489871978759766
48,wind_aligned_innovation,-0.0023924509684244664,0.004406694598478918,2,19.508299509684246
48,wind_lagged_innovation_3h,0.0003083546956380333,0.001059408692846022,1,19.51100031534831
48,wind_lagged_innovation_6h,-0.00030390421549476664,0.0011208888194660096,2,19.510388056437176
72,boundary_layer_height,-0.0309975941975911,0.010129375750334338,3,20.485748926798504
72,dewpoint,0.0049959818522135,0.011038076585682073,1,20.52174250284831
72,dewpoint_deficit,-0.0194727579752604,0.02828408215825922,2,20.497273763020836
72,neighbor_trend,-0.007263615129397466,0.0022530627529415695,3,20.509482905866694
72,precipitation,-0.0015525817871093663,0.008755596799493044,1,20.515193939208984
