dataset,horizon_h,stratum,n_timestamps,persistence_rho,current_level_vs_future_change_rho,spatial_gap_rho,spatial_gap_partial_current_rho,own_recent_trend_rho,neighbour_recent_trend_rho
KDD-London,24,season:spring,2928,0.38328237010210725,-0.4586020728302309,0.21340440746089348,-0.016501672827877505,-0.13809459376434668,-0.011934509756992588
KDD-London,24,season:summer,2208,0.43741145520601893,-0.4538966169018837,0.2605393824455483,-0.05260004498336424,-0.22152785372346173,-0.040508234974125486
KDD-London,24,season:autumn,2184,0.4090976393980437,-0.45277448607213283,0.21660251822643123,-0.027804559753049046,-0.1553202783835448,0.006499161893310571
KnowAir,6,split:train,8181,0.7770768134457364,-0.24894295037644604,0.292080200562673,0.20626910713332877,-0.0929526168478995,0.023731067059215523
KnowAir,6,split:val,1753,0.7483384661545205,-0.26362678885245555,0.28586734975499434,0.18690341159551177,-0.07221954906176009,0.032908371346602905
KnowAir,6,split:test,1752,0.7614310065236267,-0.26227188106006344,0.3082062991231961,0.21911138065776126,-0.086921140075996,0.034092137764021584
KnowAir,6,season:winter,2886,0.7845917556655271,-0.24510382148206147,0.2667942814891599,0.18185783706712286,-0.080715422096438,0.004192528315329203
KnowAir,6,season:spring,2944,0.7014528587140711,-0.3066033277829348,0.3007961688823225,0.17427035129928334,-0.08609418253654536,0.04914448791625363
KnowAir,6,season:summer,2944,0.7192642327374477,-0.3068246603588308,0.3332566387882472,0.2009612493287571,-0.10540893483382635,0.06333447231914659
KnowAir,6,season:autumn,2912,0.7705160656605787,-0.2524813967849438,0.28104268307465496,0.1931756009514662,-0.09174081206129753,0.011392148682475175
KnowAir,24,split:train,8181,0.5823552828169621,-0.353616105502806,0.31686953445633437,0.17929500384284394,-0.10909901839580745,0.0394028934521756
KnowAir,24,split:val,1753,0.4892299652085025,-0.39221545270123614,0.2954850934487689,0.12889678706091842,-0.0916971922994521,0.0412360044859032
KnowAir,24,split:test,1746,0.5973978859962469,-0.3502014389182791,0.3434588265375206,0.21852511470955593,-0.1147618471001052,0.041552616468007356
KnowAir,24,season:winter,2880,0.5244411779194572,-0.3802559383523202,0.2783244130625635,0.12823536166030883,-0.07126313532087468,0.05867193819865068
KnowAir,24,season:spring,2944,0.4653163272010688,-0.44389351670069555,0.3300044831574462,0.1181784279601224,-0.13028514238580105,0.020006290836560338
KnowAir,24,season:summer,2944,0.5401313063008877,-0.4218936357112834,0.3808666605641585,0.183536899343754,-0.16454450905829912,0.02021671567498091
KnowAir,24,season:autumn,2912,0.5617898942287762,-0.35033133057303495,0.30807032442586,0.17628376966870474,-0.096965894992104,0.0444315138347583
AirQualityBench,6,split:train,30676,0.6377343371287126,-0.3681325714990334,0.3198833580882343,0.18772960423699,-0.10382210099212909,0.012715859417379785
AirQualityBench,6,split:val,6574,0.5948097028431661,-0.3953643871453134,0.3208739168107366,0.1696597840030771,-0.10176163018767607,0.006928810495452863
AirQualityBench,6,split:test,6568,0.6452388040181689,-0.36615086780317574,0.31534204173512975,0.19139341032507642,-0.09077594643766962,0.02047748224881602
AirQualityBench,6,season:winter,10818,0.592422405404226,-0.3975423607908139,0.3054142872322334,0.1436677735322884,-0.10440155107627468,0.003578946258245423
AirQualityBench,6,season:spring,11040,0.6315618032743647,-0.3739833573009806,0.33377261895439736,0.21382073395475093,-0.1112754487226772,0.011279089974644477
AirQualityBench,6,season:summer,11040,0.7141046873786819,-0.3246169688465925,0.33513090611426355,0.22386922540057502,-0.08074009327984043,0.02994408506184561
AirQualityBench,6,season:autumn,10920,0.5874159357966613,-0.40226517617657126,0.31310265038732277,0.1538108957928673,-0.1017695459244697,0.01670488853841004
AirQualityBench,24,split:train,30676,0.5744986722889511,-0.3803905106391842,0.3124172177691366,0.175605636034107,-0.1435610220302065,-0.00795270047712534
AirQualityBench,24,split:val,6574,0.5241443139847115,-0.41062666054494024,0.31804495979427494,0.15725515748899865,-0.1411022265594986,-0.011012367727221455
AirQualityBench,24,split:test,6550,0.5641797723261268,-0.3959591583748508,0.32022357093547194,0.18002034730836858,-0.13300538689408312,-0.0028997046875311448
AirQualityBench,24,season:winter,10800,0.5179429474967557,-0.4018087731621923,0.29466863031908447,0.13194266020606243,-0.14934831534350465,-0.011889222448195588
AirQualityBench,24,season:spring,11040,0.5601195009006097,-0.3848013412339499,0.33089416202120076,0.19105328988727907,-0.1571742096375776,-0.01811128150658992
AirQualityBench,24,season:summer,11040,0.6390994447966575,-0.36795346626901676,0.3402127343147937,0.2198851717772724,-0.11574139444627375,0.01723396694843716
