station_index,station,longitude,latitude,history_distance,future_distance,spearman_distance_rho
103,Penglai,120.76,37.817,past_72h,future_72h,0.17213052738088438
103,Penglai,120.76,37.817,past_recent_24h,future_day1,0.43630685636909705
103,Penglai,120.76,37.817,past_recent_24h,future_day3,0.06619884655981545
103,Penglai,120.76,37.817,past_recent_24h,future_72h,0.2445788428446149
104,Zhaoyuan,120.399,37.374,past_72h,future_day1,0.25932429237188687
104,Zhaoyuan,120.399,37.374,past_72h,future_day3,0.04869598244735719
104,Zhaoyuan,120.399,37.374,past_72h,future_72h,0.14124787232765956
104,Zhaoyuan,120.399,37.374,past_recent_24h,future_day1,0.43429278142284505
104,Zhaoyuan,120.399,37.374,past_recent_24h,future_day3,0.01775347253655561
104,Zhaoyuan,120.399,37.374,past_recent_24h,future_72h,0.21758168396506947
105,Laizhou,119.95,37.1785,past_72h,future_day1,0.26752134891541585
105,Laizhou,119.95,37.1785,past_72h,future_day3,0.04241200345792055
105,Laizhou,119.95,37.1785,past_72h,future_72h,0.1521741486358638
105,Laizhou,119.95,37.1785,past_recent_24h,future_day1,0.4479765752282521
105,Laizhou,119.95,37.1785,past_recent_24h,future_day3,0.009810721569715453
105,Laizhou,119.95,37.1785,past_recent_24h,future_72h,0.2254910392145663
106,Rushan,121.531,36.913000000000004,past_72h,future_day1,0.2562133243221319
106,Rushan,121.531,36.913000000000004,past_72h,future_day3,0.04735719541715127
106,Rushan,121.531,36.913000000000004,past_72h,future_72h,0.13846511834641897
106,Rushan,121.531,36.913000000000004,past_recent_24h,future_day1,0.43186187210589955
106,Rushan,121.531,36.913000000000004,past_recent_24h,future_day3,0.03193250891720143
106,Rushan,121.531,36.913000000000004,past_recent_24h,future_72h,0.21329949652791946
107,Wujiang,120.64299999999999,31.165666666666667,past_72h,future_day1,0.3175677666508427
107,Wujiang,120.64299999999999,31.165666666666667,past_72h,future_day3,0.065755137560822
107,Wujiang,120.64299999999999,31.165666666666667,past_72h,future_72h,0.20854199995872003
107,Wujiang,120.64299999999999,31.165666666666667,past_recent_24h,future_day1,0.4633987926078068
107,Wujiang,120.64299999999999,31.165666666666667,past_recent_24h,future_day3,0.0455930131188821
107,Wujiang,120.64299999999999,31.165666666666667,past_recent_24h,future_72h,0.2593213271234124
108,Taicang,121.14,31.421999999999997,past_72h,future_day1,0.3163395293983247
108,Taicang,121.14,31.421999999999997,past_72h,future_day3,0.04667876254060201
108,Taicang,121.14,31.421999999999997,past_72h,future_72h,0.1849529422324708
108,Taicang,121.14,31.421999999999997,past_recent_24h,future_day1,0.4679903473904556
