station_index,station,history_type,history_span,future_type,future_horizon,spearman_distance_rho
2,Shijiazhuang,weather_only,full72,joint,full72,0.15562463990616
2,Shijiazhuang,joint,full72,pm,day1,0.14167197541799387
2,Shijiazhuang,joint,full72,weather,day1,0.26559891939972985
2,Shijiazhuang,joint,full72,joint,day1,0.28226814306703574
2,Shijiazhuang,joint,full72,pm,day3,-0.03280541170135293
2,Shijiazhuang,joint,full72,weather,day3,0.030039060009765
2,Shijiazhuang,joint,full72,joint,day3,0.01551137787784447
2,Shijiazhuang,joint,full72,pm,full72,0.040542424135606034
2,Shijiazhuang,joint,full72,weather,full72,0.1561449555362389
2,Shijiazhuang,joint,full72,joint,full72,0.15346421786605446
3,Tangshan,pm_only,recent24,pm,day1,0.3459425649856413
3,Tangshan,pm_only,recent24,weather,day1,0.11324038481009618
3,Tangshan,pm_only,recent24,joint,day1,0.19068061317015328
3,Tangshan,pm_only,recent24,pm,day3,0.09679774069943517
3,Tangshan,pm_only,recent24,weather,day3,0.013217514304378574
3,Tangshan,pm_only,recent24,joint,day3,0.039432884358221086
3,Tangshan,pm_only,recent24,pm,full72,0.27479272469818117
3,Tangshan,pm_only,recent24,weather,full72,0.07063485265871317
3,Tangshan,pm_only,recent24,joint,full72,0.12916922479230616
3,Tangshan,weather_only,recent24,pm,day1,0.06777207494301873
3,Tangshan,weather_only,recent24,weather,day1,0.418197796049449
3,Tangshan,weather_only,recent24,joint,day1,0.400586428146607
3,Tangshan,weather_only,recent24,pm,day3,0.03584918246229561
3,Tangshan,weather_only,recent24,weather,day3,0.10126114031528508
3,Tangshan,weather_only,recent24,joint,day3,0.09642958660739664
3,Tangshan,weather_only,recent24,pm,full72,0.035698027424506854
3,Tangshan,weather_only,recent24,weather,full72,0.2727114366778592
3,Tangshan,weather_only,recent24,joint,full72,0.2558590659647665
3,Tangshan,joint,recent24,pm,day1,0.14534332983583245
3,Tangshan,joint,recent24,weather,day1,0.4099744099936025
3,Tangshan,joint,recent24,joint,day1,0.41821300455325106
3,Tangshan,joint,recent24,pm,day3,0.055274875818718955
3,Tangshan,joint,recent24,weather,day3,0.09070950767737693
3,Tangshan,joint,recent24,joint,day3,0.09202419050604763
3,Tangshan,joint,recent24,pm,full72,0.10017204104301025
3,Tangshan,joint,recent24,weather,full72,0.2634550348637587
3,Tangshan,joint,recent24,joint,full72,0.265950871987718
3,Tangshan,pm_only,full72,pm,day1,0.29340913635228405
3,Tangshan,pm_only,full72,weather,day1,0.06889176072294018
3,Tangshan,pm_only,full72,joint,day1,0.13578692194673048
3,Tangshan,pm_only,full72,pm,day3,0.11142644485661123
3,Tangshan,pm_only,full72,weather,day3,-0.004676299169074792
3,Tangshan,pm_only,full72,joint,day3,0.020326265081566267
3,Tangshan,pm_only,full72,pm,full72,0.2494156988539247
3,Tangshan,pm_only,full72,weather,full72,0.01717404579351145
3,Tangshan,pm_only,full72,joint,full72,0.07090195022548756
3,Tangshan,weather_only,full72,pm,day1,0.0035284328821082204
3,Tangshan,weather_only,full72,weather,day1,0.2734605488651372
3,Tangshan,weather_only,full72,joint,day1,0.2549225287306322
3,Tangshan,weather_only,full72,pm,day3,-0.015313641828410458
3,Tangshan,weather_only,full72,weather,day3,0.06231956907989227
3,Tangshan,weather_only,full72,joint,day3,0.05110725077681269
