target_index,target,lead_hour,base_adjusted_r2,aligned_neighbor_r2_gain,unweighted_neighbor_r2_gain
44,Zhangsha,3,0.8476623068445405,0.008517521532846906,0.007584447471636335
44,Zhangsha,6,0.6737124352594466,0.025702899797299006,0.024074828590348707
44,Zhangsha,12,0.4510834702656299,0.03533235456987316,0.033599651479008896
44,Zhangsha,24,0.26366226718217867,0.019166178271178058,0.016083699102053317
45,Zhongqing,3,0.9076058904295108,0.006900855540343476,0.0018833384498240235
45,Zhongqing,6,0.7842518877606746,0.017403562331913536,0.007510795030635453
45,Zhongqing,12,0.6118997618578079,0.026208461813327144,0.0157319929623696
45,Zhongqing,24,0.43146641493843463,0.0213227778825692,0.017744154843155724
46,Chengdou,3,0.8241346633388329,0.006658857502970794,0.0025513715561740202
46,Chengdou,6,0.6439357231722993,0.017036924635504325,0.009293599977465483
46,Chengdou,12,0.4282632389041304,0.01813591080269772,0.012736905719434977
46,Chengdou,24,0.2650521630450078,0.00686345147549261,0.00578699212947309
47,Xian,3,0.8537985405753008,0.005217108772112677,0.004871478405048202
47,Xian,6,0.6782961106363155,0.013076407436061865,0.013435153195766825
47,Xian,12,0.448994511360405,0.01604021253194632,0.014985152047839123
47,Xian,24,0.2409846127401547,0.004500884107010106,0.0011606642427924863
48,Lanzhou,3,0.6883642344185725,0.018210892119667532,0.01776322133332886
48,Lanzhou,6,0.4682264858040689,0.024276583115653727,0.022334301717857774
48,Lanzhou,12,0.25899308864926396,0.015817418690530882,0.012845792663730204
48,Lanzhou,24,0.12600197327696694,0.005065769906934081,0.0037604028196761563
49,Yinchuan,3,0.6760523982058528,0.021824160045137653,0.028499342226461888
49,Yinchuan,6,0.46339798096272644,0.03419773876483967,0.046319754180315975
49,Yinchuan,12,0.25130297400545576,0.029738811216419858,0.0454725887184485
49,Yinchuan,24,0.10499071207653055,0.008730204741246972,0.02014072607149986
50,Baotou,3,0.7307004569937847,0.008941634335994486,0.011532178722694963
50,Baotou,6,0.49959609641550773,0.02194614249369109,0.020969656382364255
50,Baotou,12,0.27921471532167186,0.01817652424907157,0.01127909168478991
50,Baotou,24,0.10459545486288535,0.005345096456755627,0.002417663338425746
51,Eerduosi,3,0.7392761578085848,0.01806908934905216,0.01535456346517372
51,Eerduosi,6,0.5530447082087242,0.045772190374991695,0.04044256842252125
51,Eerduosi,12,0.35564834485667685,0.06425646863757895,0.0679503155587543
51,Eerduosi,24,0.17134763691522925,0.04232013296042081,0.050982939038583974
52,Huludao,3,0.7164079303616757,0.030768767167135058,0.018903041993580838
52,Huludao,6,0.49132263019541833,0.06049186392756534,0.038235895050460544
52,Huludao,12,0.2896392523352881,0.05464465069444613,0.0317931699910482
52,Huludao,24,0.11250243232933443,0.016033530411484587,0.005293774970471343
53,Laiwu,3,0.7248291311253481,0.02332083242969185,0.013768354080113454
53,Laiwu,6,0.5365899318533622,0.03631549264733713,0.020757606644557725
53,Laiwu,12,0.32584543044967107,0.02142226476915854,0.010092169520183547
53,Laiwu,24,0.15323166169230518,0.00021812716459923553,-4.1543687897105386e-05
54,Linyi,3,0.8150112375144524,0.006752415781702159,0.002441638473383967
54,Linyi,6,0.6316425773554669,0.011648526242286628,0.005088581950999482
54,Linyi,12,0.40702473052590127,0.006084673859048428,0.0026826401618302853
54,Linyi,24,0.2115528489738726,0.0011190888246298547,-6.675879970408083e-05
55,Liaocheng,3,0.7556626328262053,0.015003497647986475,0.008864091378831152
55,Liaocheng,6,0.5567330232970673,0.02114537939232497,0.012438324629561626
55,Liaocheng,12,0.3407351683352322,0.008852802780876301,0.003109470359471622
55,Liaocheng,24,0.17693317140696407,0.0007048480220179787,-3.316642421802296e-05
56,Binzhou,3,0.7504573364508604,0.008023401856850354,0.002098765439211947
56,Binzhou,6,0.5531555355895872,0.00660361050291236,0.0007614969058760135
56,Binzhou,12,0.32647575836241194,-0.0058544592520825,0.0003766280073288497
