target_index,target,lead_hour,base_adjusted_r2,aligned_neighbor_r2_gain,unweighted_neighbor_r2_gain
84,Zhangjiajie,12,0.4440117195659168,0.024774964923230725,0.03895080047618549
84,Zhangjiajie,24,0.27275121067168784,0.007179015745775397,0.017749373989465855
85,Mianyang,3,0.8517452864973822,0.0006700673294287585,0.0008926385815641869
85,Mianyang,6,0.6798421186430985,0.001862925550441541,0.002798905858878431
85,Mianyang,12,0.45896855152895144,0.010963273256775152,0.0038513787967987545
85,Mianyang,24,0.27404254486719903,0.009741645797759158,0.0013275213922246953
86,Yibin,3,0.7875537350407757,0.005746345208597958,0.007227916384272448
86,Yibin,6,0.5944012980703153,0.021643647880160488,0.02385194207119734
86,Yibin,12,0.3843835841437666,0.0442022006986621,0.04995391072407007
86,Yibin,24,0.20756066596676348,0.033305713454690244,0.04444871293209662
87,Luzhou,3,0.8369292029944206,0.014224893390863413,0.012070221972695583
87,Luzhou,6,0.6967729605860191,0.030039652406059103,0.027830244507706547
87,Luzhou,12,0.5392050085333562,0.03914239969774935,0.03681382475269357
87,Luzhou,24,0.39330930169475,0.02432713206368864,0.026235187000270277
88,Zigong,3,0.7517784212462527,0.023368004868564496,0.025504326880849137
88,Zigong,6,0.5833961652304812,0.039247039319701194,0.0386697650431691
88,Zigong,12,0.4102598759441841,0.03403289266690013,0.0304684126733048
88,Zigong,24,0.2994293616255238,0.006214807964285418,0.007596209325855252
89,Deyang,3,0.7442470677325834,0.02145540586919903,0.012948353327604245
89,Deyang,6,0.5940087355055558,0.03154885047963196,0.01782406016845839
89,Deyang,12,0.4206696791868989,0.020534446063709244,0.012716189591907345
89,Deyang,24,0.26733217483239025,0.00512055532087019,0.0036521094984935942
90,Nanchong,3,0.8350927365370538,0.009068628473098639,0.010104276019313296
90,Nanchong,6,0.7034718521615932,0.01924555864186628,0.02196384575975774
